,Track,Artist,Release Date,Spotify Playlist Count 2023,Spotify Chart Counts 2023,Streams 2023,Apple Music Playlist Count 2023,Apple Music Chart Counts 2023,Deezer Playlist Count 2023,Deezer Chart Counts 2023,Shazam Chart Counts 2023,Bpm,Key,Mode,Danceability %,Valence %,Energy %,Acousticness %,Instrumentalness %,Liveness %,Speechiness %
825,Flowers,Lauren Spencer Smith,8/9/2021,801,0,184826429.0,42,9,24,1,1.0,138.0,D#,Major,70.0,31.0,44.0,84.0,0.0,9.0,39.0
826,Yet To Come,BTS,6/10/2022,829,0,302006641.0,32,110,26,0,0.0,172.0,C#,Major,56.0,68.0,89.0,4.0,0.0,33.0,19.0
827,Run BTS,BTS,6/10/2022,736,0,330881149.0,5,132,17,0,3.0,77.0,G#,Major,72.0,70.0,82.0,2.0,0.0,4.0,17.0
828,Music For a Sushi Restaurant,Harry Styles,5/20/2022,4449,1,334733572.0,80,11,66,0,1.0,107.0,B,Major,72.0,36.0,72.0,26.0,6.0,11.0,4.0
829,Matilda,Harry Styles,5/20/2022,3218,3,366214458.0,29,10,79,0,0.0,114.0,D,Major,51.0,39.0,29.0,90.0,0.0,10.0,4.0
830,For Youth,BTS,6/10/2022,327,0,114546317.0,5,40,12,0,0.0,117.0,D,Major,63.0,29.0,51.0,43.0,0.0,25.0,4.0
831,Daylight,Harry Styles,5/20/2022,2775,0,290833204.0,21,11,40,0,0.0,146.0,,Major,69.0,63.0,45.0,48.0,0.0,18.0,4.0
832,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,5/6/2022,4576,0,448500832.0,79,13,93,0,17.0,160.0,G#,Minor,80.0,74.0,60.0,8.0,0.0,14.0,26.0
833,Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",6/10/2022,2313,0,136676504.0,34,0,29,0,0.0,120.0,G,Major,88.0,15.0,56.0,1.0,0.0,8.0,6.0
834,Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",5/27/2022,3983,0,190625045.0,73,45,119,0,0.0,100.0,B,Minor,82.0,76.0,70.0,16.0,0.0,8.0,5.0
835,Born Singer,BTS,6/10/2022,279,0,79095270.0,0,18,6,0,0.0,158.0,G#,Minor,60.0,68.0,84.0,4.0,0.0,24.0,11.0
836,Little Freak,Harry Styles,5/20/2022,2302,0,273194684.0,20,3,39,0,0.0,142.0,D#,Major,56.0,40.0,54.0,72.0,0.0,10.0,4.0
837,La Llevo Al Cielo (Ft. ��engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",5/20/2022,3559,3,333146475.0,36,1,31,0,1.0,170.0,A,Minor,80.0,77.0,85.0,11.0,0.0,17.0,14.0
838,True Love,"Kanye West, XXXTENTACION",5/27/2022,2129,0,194902696.0,23,1,44,1,0.0,84.0,F,Minor,71.0,39.0,86.0,2.0,0.0,51.0,25.0
839,Satellite,Harry Styles,5/20/2022,3291,5,311482393.0,43,28,79,0,208.0,139.0,,Major,58.0,30.0,46.0,14.0,0.0,9.0,3.0
840,Pass The Dutchie,Musical Youth,1/1/1982,5328,0,195918494.0,54,76,900,0,0.0,151.0,G,Major,73.0,88.0,67.0,20.0,0.0,32.0,5.0
841,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",6/8/2022,1401,0,248511839.0,26,16,17,0,1.0,128.0,C#,Minor,82.0,42.0,75.0,6.0,0.0,63.0,6.0
842,Love Of My Life,Harry Styles,5/20/2022,1933,0,233671263.0,13,2,31,0,0.0,118.0,G,Major,56.0,20.0,54.0,67.0,0.0,6.0,5.0
843,Grapejuice,Harry Styles,5/20/2022,1986,0,199587884.0,7,1,15,0,0.0,183.0,F,Major,65.0,88.0,72.0,36.0,14.0,20.0,3.0
844,So Good,Halsey,6/9/2022,1057,0,91781263.0,51,14,19,0,0.0,83.0,D#,Minor,63.0,29.0,62.0,4.0,0.0,18.0,4.0
845,Belly Dancer,"BYOR, Imanbek",2/18/2022,5115,13,383835984.0,109,38,301,1,33.0,122.0,C#,Major,85.0,42.0,80.0,6.0,0.0,17.0,14.0
846,Keep Driving,Harry Styles,5/20/2022,2094,1,236060709.0,8,1,18,0,0.0,165.0,A,Major,72.0,90.0,48.0,32.0,0.0,18.0,23.0
847,Cinema,Harry Styles,5/20/2022,2171,0,189236868.0,18,1,28,0,0.0,106.0,A,Minor,83.0,90.0,64.0,35.0,5.0,9.0,4.0
848,Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",5/25/2022,896,0,160845341.0,19,0,15,0,0.0,77.0,B,Major,81.0,68.0,58.0,83.0,0.0,11.0,34.0
849,Only Love Can Hurt Like This,Paloma Faith,1/1/2014,5148,0,588955257.0,90,22,365,0,114.0,91.0,G#,Major,57.0,30.0,89.0,10.0,0.0,33.0,8.0
850,Hold My Hand,Lady Gaga,5/3/2022,2528,0,238350348.0,63,8,270,2,105.0,148.0,G,Major,51.0,21.0,63.0,5.0,0.0,41.0,3.0
851,Daydreaming,Harry Styles,5/20/2022,1900,1,187703102.0,15,1,23,0,0.0,114.0,E,Minor,71.0,90.0,81.0,31.0,2.0,13.0,3.0
852,Numb,"Marshmello, Khalid",6/10/2022,3879,2,295307001.0,107,76,86,1,9.0,120.0,,Minor,91.0,63.0,77.0,12.0,1.0,10.0,5.0
853,Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",6/2/2022,896,0,138334433.0,0,0,2,0,0.0,92.0,F#,Major,83.0,56.0,82.0,10.0,0.0,9.0,5.0
854,Me and Your Mama,Childish Gambino,11/10/2016,8775,0,445590495.0,33,60,107,1,0.0,118.0,F,Major,56.0,25.0,45.0,1.0,3.0,7.0,3.0
855,Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3/18/2022,5290,0,286739476.0,139,73,142,0,5.0,123.0,E,Minor,60.0,46.0,71.0,3.0,0.0,16.0,4.0
856,SLOW DANCING IN THE DARK,Joji,9/12/2018,10211,0,1122364376.0,38,79,65,0,1.0,89.0,D#,Major,52.0,28.0,48.0,54.0,1.0,19.0,3.0
857,Antes de Perderte,Duki,6/2/2022,584,8,157136970.0,12,1,8,0,1.0,110.0,F,Minor,81.0,61.0,93.0,49.0,0.0,12.0,11.0
858,Boyfriends,Harry Styles,5/20/2022,1517,0,137070925.0,26,2,30,0,0.0,118.0,,Major,42.0,32.0,20.0,94.0,0.0,11.0,4.0
859,295,Sidhu Moose Wala,5/15/2021,246,4,183273246.0,4,106,0,0,7.0,90.0,B,Minor,68.0,54.0,76.0,21.0,0.0,11.0,20.0
860,Tak Ingin Usai,Keisya Levronka,5/13/2022,220,4,184807630.0,16,5,0,0,6.0,130.0,,Major,49.0,14.0,40.0,82.0,0.0,11.0,3.0
861,En El Radio Un Cochinero,Victor Cibrian,5/13/2022,514,0,164856284.0,5,36,1,0,0.0,154.0,F#,Minor,70.0,97.0,62.0,47.0,0.0,10.0,4.0
862,Master of Puppets (Remastered),Metallica,3/3/1986,6080,0,704171068.0,112,198,406,1,0.0,105.0,E,Minor,54.0,59.0,83.0,0.0,44.0,20.0,4.0
863,BREAK MY SOUL,Beyonc,6/21/2022,9724,0,354614964.0,222,61,259,14,2.0,115.0,C#,Minor,70.0,87.0,88.0,4.0,0.0,26.0,8.0
